symbol,date,time,frequency,open,high,low,close,volume,value,kind,source,productionUsage
US10Y_MONTHLY_SAMPLE,2013-11-01,2013-11-01T00:00:00Z,monthly,2.72,2.72,2.72,2.72,,2.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2013-12-01,2013-12-01T00:00:00Z,monthly,2.9,2.9,2.9,2.9,,2.9,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-01-01,2014-01-01T00:00:00Z,monthly,2.86,2.86,2.86,2.86,,2.86,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-02-01,2014-02-01T00:00:00Z,monthly,2.71,2.71,2.71,2.71,,2.71,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-03-01,2014-03-01T00:00:00Z,monthly,2.72,2.72,2.72,2.72,,2.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-04-01,2014-04-01T00:00:00Z,monthly,2.71,2.71,2.71,2.71,,2.71,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-05-01,2014-05-01T00:00:00Z,monthly,2.56,2.56,2.56,2.56,,2.56,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-06-01,2014-06-01T00:00:00Z,monthly,2.6,2.6,2.6,2.6,,2.6,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-07-01,2014-07-01T00:00:00Z,monthly,2.54,2.54,2.54,2.54,,2.54,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-08-01,2014-08-01T00:00:00Z,monthly,2.42,2.42,2.42,2.42,,2.42,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-09-01,2014-09-01T00:00:00Z,monthly,2.53,2.53,2.53,2.53,,2.53,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-10-01,2014-10-01T00:00:00Z,monthly,2.3,2.3,2.3,2.3,,2.3,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-11-01,2014-11-01T00:00:00Z,monthly,2.33,2.33,2.33,2.33,,2.33,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2014-12-01,2014-12-01T00:00:00Z,monthly,2.21,2.21,2.21,2.21,,2.21,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-01-01,2015-01-01T00:00:00Z,monthly,1.88,1.88,1.88,1.88,,1.88,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-02-01,2015-02-01T00:00:00Z,monthly,1.98,1.98,1.98,1.98,,1.98,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-03-01,2015-03-01T00:00:00Z,monthly,2.04,2.04,2.04,2.04,,2.04,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-04-01,2015-04-01T00:00:00Z,monthly,1.94,1.94,1.94,1.94,,1.94,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-05-01,2015-05-01T00:00:00Z,monthly,2.2,2.2,2.2,2.2,,2.2,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-06-01,2015-06-01T00:00:00Z,monthly,2.36,2.36,2.36,2.36,,2.36,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2015-07-01,2015-07-01T00:00:00Z,monthly,2.32,2.32,2.32,2.32,,2.32,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
